Token,POS
,
Dienste,NSM
vir,SVS
organisasies,NSM
:,ZM
dienste,NSM
wat,PB
met,SVS
organisasies,NSM
en,KN
sakeondernemings,NSM
verband,NSE
hou,VTHOG
,
Dienste,NSM
vir,SVS
buitelandse,ASA
burgers,NSM
:,ZM
inligting,NM
wat,PB
spesifiek,BS
bedoel,ASP
is,VTHOK
vir,SVS
burgers,NSM
van,SVS
ander,ASA
lande,NSM
wat,PB
toepaslike,ASA
dienste,NSM
van,SVS
die,LB
Suid-Afrikaanse,ASA
regering,NSE
nodig,BS
het,VTHOG
.,ZE
,
Elk,PO
van,UPD
hierdie,PA
kategorieë,NSM
is,VVUOP
verder,BV
op,SVS
so,UPV
'n,LO
wyse,NSE
gestruktureer,VVHOG
dat,KO
dit,PDOENP
aanpas,VTHSO
by,SVS
die,LB
volgorde,NSE
van,SVS
lewensgebeure,NA
(,ZPL
tipiese,ASA
gebeure,NSM
in,SVS
die,LB
lewe,NSE
van,SVS
'n,LO
burger,NSE
of,KN
'n,LO
sakeonderneming,NSE
),ZPR
.,ZE
,
Hierdie,PA
lewensgebeure,NA
is,VVUOP
verder,BV
in,SVS
kategorieë,NSM
volgens,SVS
lewensfases,NSM
ingedeel,VVHOG
.,ZE
,
Inligting,NM
ten,SVS
opsigte,NSM
van,SVS
elke,PO
diens,NSE
is,VVUOP
volgens,SVS
sewe,THAB
sleutelareas,NSM
gerangskik,VVHOG
",",ZM
naamlik,BS
beskrywing,NSE
",",ZM
stappe,NSM
om,SVS
te,UPI
volg,VTHOG
",",ZM
wetlike,ASA
raamwerk,NSE
",",ZM
diensstandaard,NSE
;,ZM
koste,NSE
",",ZM
vorms,NSM
om,SVS
in,UPW
te,UPI
vul,VTHOG
",",ZM
en,KN
kontakbesonderhede,NM
.,ZE
,
Verbandhoudende,ASA
inligting,NM
,
Hierdie,PA
afdeling,NSE
van,SVS
die,LB
webtuiste,NSE
",",ZM
wat,PB
in,SVS
die,LB
regterkantste,ASA
navigasiebalk,NSE
vertoon,VTHOG
word,VTUOP
",",ZM
bevat,VTHOG
skakels,NSM
na,SVS
die,LB
webtuistes,NSM
wat,PB
aan,SVS
daardie,PA
lewensgebeurtenis,NSE
verwant,ASP
is,VTHOK
.,ZE
,
Tale,NSM
,
Hierdie,PA
weergawe,NSE
van,SVS
die,LB
webtuiste,NSE
maak,VTHOG
voorsiening,NA
vir,SVS
elf,THAB
tale,NSM
",",ZM
naamlik,BS
Engels,NEE
",",ZM
Afrikaans,NEE
",",ZM
isiXhosa,NEE
",",ZM
isiZulu,NEE
",",ZM
Sepedi,NEE
",",ZM
Sesotho,NEE
",",ZM
Setswana,NEE
",",ZM
Ndebele,NEE
",",ZM
Tsonga,NEE
",",ZM
Venda,NEE
en,KN
Siswati,NEE
.,ZE
,
Ten,SVS
einde,NSE
toegang,NA
tot,SVS
die,LB
inligting,NM
op,SVS
die,LB
webtuiste,NSE
uit,UPW
te,UPI
brei,VTHOG
",",ZM
word,VTUOP
daar,UXD
in,SVS
die,LB
vooruitsig,NSE
gestel,VVHOG
dat,KO
die,LB
inligting,NM
uiteindelik,BS
in,SVS
al,THAO
elf,THAB
amptelike,ASA
tale,NSM
beskikbaar,ASP
sal,VTUOM
wees,VTHOK
.,ZE
,
Vertaling,NSE
van,SVS
die,LB
inligting,NM
in,SVS
die,LB
oorblywende,ASA
amptelike,ASA
tale,NSM
sal,VTUOM
na,SVS
verwagting,NSE
teen,SVS
Maart,NEE
2007,RS
afgehandel,ASP
wees,VTHOK
.,ZE
,
Dienste-inligting,NM
word,VTUOP
oorspronklik,BS
in,SVS
Engels,NEE
opgestel,VVHOG
",",ZM
waarna,PB
dit,PDOENP
in,SVS
die,LB
ander,ASA
tale,NSM
vertaal,VTHOG
word,VTUOP
.,ZE
,
Dienste-inligting,NM
word,VTUOP
in,SVS
die,LB
ander,ASA
tale,NSM
geplaas,VVHOG
nadat,KO
dit,PDOENP
vertaal,VTHOG
is,VVUOP
.,ZE
,
Ander,ASA
kenmerke,NSM
van,SVS
die,LB
webtuiste,NSE
,
Gebruik,VTHOG
die,LB
Kontak,VTHOG
ons,PEMP
bladsy,NSE
om,SVS
kommentaar,NSE
te,UPI
lewer,VTHOG
oor,SVS
of,KN
navraag,NSE
te,UPI
doen,VTHOG
na,SVS
die,LB
Regeringsdienste-webtuiste,NSE
.,ZE
,
Die,LB
www.gov.za-skakel,NSE
voorsien,VTHOG
toegang,NA
tot,SVS
die,LB
Suid-Afrikaanse,ASA
Regering,NSE
Aanlyn,ASA
tuisbladsy,NSE
",",ZM
wat,PB
toegang,NA
verskaf,VTHOG
tot,SVS
die,LB
webtuiste,NSE
(,ZPL
Regeringsdienste-webtuiste,NSE
),ZPR
en,KN
die,LB
Regeringsinligting-webtuiste,NSE
(,ZPL
www.info.gov.za,NEE
),ZPR
.,ZE
,
Die,LB
werfkaart,NSE
verskaf,VTHOG
'n,LO
visuele,ASA
voorstelling,NSE
van,SVS
die,LB
struktuur,NSE
van,SVS
die,LB
webtuiste,NSE
.,ZE
,
Dit,PDOENP
word,VTUOP
hiërargies,BS
aangebied,VVHOG
",",ZM
en,KN
verdeel,VTHOG
die,LB
webtuiste,NSE
se,UPS
inligting,NM
in,SVS
steeds,BS
meer,BV
spesifieke,ASA
onderwerpareas,NSM
.,ZE
,
Dit,PDOENP
stel,VTHOG
jou,PTEDP
dus,BS
in,SVS
staat,NSE
om,SVS
jouself,PTEW
ooreenkomstig,SVS
die,LB
inhoudstruktuur,NSE
van,SVS
die,LB
webtuiste,NSE
te,UPI
oriënteer,VTHOG
.,ZE
,
Die,LB
tuisbladsy,NSE
verskaf,VTHOG
'n,LO
lys,NSE
van,SVS
die,LB
mees,BO
besoekte,ASA
dienste,NSM
.,ZE
,
Hierdie,PA
inskrywings,NSM
bied,VTHOG
toegang,NA
tot,SVS
die,LB
vyf,THAB
dienste,NSM
wat,PB
die,LB
meeste,BO
deur,SVS
gebruikers,NSM
besoek,VTHOG
is,VVUOP
.,ZE
,
Die,LB
lysting,NSE
word,VTUOP
aangepas,VVHOG
in,SVS
ooreenstemming,NA
met,SVS
die,LB
statistiek,NSE
vir,SVS
die,LB
bladsye,NSM
wat,PB
besoek,VTHOG
is,VVUOP
.,ZE
,
'n,LO
Soekvenstertjie,NSED
is,VTHOK
beskikbaar,ASP
op,SVS
alle,THAO
bladsye,NSM
op,SVS
die,LB
webtuiste,NSE
.,ZE
,
Wanneer,PB
'n,LO
soekterm,NSE
ingesleutel,VVHOG
word,VTUOP
",",ZM
sal,VTUOM
die,LB
volledige,ASA
webtuiste,NSE
vir,SVS
die,LB
bepaalde,ASA
woord,NSE
(e),RSF
deursoek,VTHSG
word,VTUOP
.,ZE
,
Skakels,NSM
na,SVS
eksterne,ASA
webtuistes,NSM
word,VTUOP
aangedui,VVHOG
deur,SVS
die,LB
woorde,NSM
',ZPL
buiteskakel,NSE
-,ZM
maak,VTHOG
'n,LO
nuwe,ASA
venster,NSE
oop,UPW
',ZPR
",",ZM
wat,PB
in,SVS
'n,LO
venstertjie,NSED
sal,VTUOM
verskyn,VTHOO
wanneer,PB
jou,PTEB
merker,NSE
oor,SVS
die,LB
skakel,NSE
beweeg,VTHOG
word,VTUOP
.,ZE
,
Die,LB
webtuiste,NSE
sal,VTUOM
'n,LO
nuwe,ASA
deurblaai-venster,NSE
oopmaak,VTHSG
.,ZE
,
Hoe,PV
gereeld,BS
gaan,VTUOM
die,LB
inligting,NM
bygewerk,VVHOG
word,VTUOP
?,ZE
,
Die,LB
webtuiste,NSE
sal,VTUOM
op,SVS
'n,LO
voortdurende,ASA
basis,NSE
bygewerk,VVHOG
word,VTUOP
.,ZE
,
Ons,PEMB
beleid,NSE
is,VTHOK
om,SVS
inligting,NM
te,UPI
verskaf,VTHOG
soos,UPV
en,KN
wanneer,PB
dit,PDOENP
beskikbaar,ASP
word,VTHOK
.,ZE
,
Die,LB
ontwikkelaars,NSM
van,SVS
die,LB
Regeringsdienste-webtuiste,NSE
kan,VTUOM
egter,BS
nie,BS
die,LB
resentheid,NA
waarborg,VTHOG
van,SVS
inligting,NM
wat,PB
gepubliseer,VVHOG
word,VTUOP
op,SVS
ander,ASA
webtuistes,NSM
waarheen,PB
daar,UXD
skakels,NSM
verskaf,VTHOG
word,VTUOP
nie,UPO
.,ZE
,
Sien,VTHOG
Terme,NSM
en,KN
Voorwaardes,NSM
",",ZM
par.,RA
4.3,RS
.,ZE
,
Eienaarskap,NA
ten,SVS
opsigte,NSM
van,SVS
die,LB
inligting,NM
,
Regeringsdepartemente,NSM
neem,VTHOG
self,PDOEW
eienaarskap,NA
van,SVS
hul,PDMB
inligting,NM
op,SVS
die,LB
webtuiste,NSE
.,ZE
,
Hierdie,PA
funksie,NSE
is,VVUOP
toegewys,VVHOG
aan,SVS
departementele,ASA
kontakbestuurders,NSM
wat,PB
verantwoordelik,ASP
is,VTHOK
vir,SVS
die,LB
inligting,NM
wat,PB
op,SVS
die,LB
webtuiste,NSE
gepubliseer,VVHOG
word,VTUOP
.,ZE
,
Regeringskommunikasie,NA
(,ZPL
GCIS,RL
),ZPR
is,VTHOK
verantwoordelik,ASP
vir,SVS
die,LB
oorkoepelende,ASA
bestuur,NA
en,KN
koördinering,NA
van,SVS
die,LB
webtuiste,NSE
se,UPS
inhoud,NSE
.,ZE
,
Formaat,NSE
van,SVS
dokumente,NSM
,
Die,LB
vernaamste,AOA
formaat,NSE
vir,SVS
inligting,NM
op,SVS
die,LB
webtuiste,NSE
is,VTHOK
HTML,RL
.,ZE
,
Die,LB
PDF-weergawes,NSM
van,SVS
dokumente,NSM
(,ZPL
bv.,RA
wette,NSM
",",ZM
vorms,NSM
),ZPR
word,VTUOP
egter,BS
verskaf,VTHOG
om,SVS
die,LB
oorspronklike,ASA
uitleg,NSE
daarvan,PB
te,UPI
behou,VTHOG
.,ZE
,
Ten,SVS
einde,NSE
PDF-dokumente,NSM
te,UPI
kan,VTUOM
oopmaak,VTHSG
",",ZM
moet,VTUOM
jy,PTENP
Adobe,NEE
Acrobat,NEE
Reader,NEE
4,RS
of,KN
hoër,AVP
op,SVS
jou,PTEB
rekenaar,NSE
geïnstalleer,VVHOG
hê,VTHOG
.,ZE
,
Dit,PDOENP
sal,VTUOM
dokumente,NSM
regstreeks,BS
in,SVS
jou,PTEB
blaaier,NSE
oopmaak,VTHSG
.,ZE
,
Soms,BS
neem,VTHOO
dit,PDOENP
lank,BS
om,SVS
PDF-dokumente,NSM
oop,UPW
te,UPI
maak,VTHOG
.,ZE
,
In,SVS
daardie,PA
geval,NSE
beveel,VTHOV
ons,PEMP
aan,SVS
dat,KO
jy,PTENP
dit,PDOENP
na,SVS
jou,PTEB
rekenaar,NSE
aflaai,VTHSG
en,KN
liewer,BV
van,SVS
daar,PA
af,SVS
oopmaak,VTHSG
.,ZE
,
Wenke,NSM
vir,SVS
wanneer,PB
jy,PTENP
dokumente,NSM
na,SVS
jou,PTEB
rekenaar,NSE
wil,VTUOM
aflaai,VTHSG
:,ZM
,
Wanneer,PB
jy,PTENP
Internet,NEE
Explorer,NEE
as,KO
jou,PTEB
blaaier,NSE
gebruik,VTHOG
:,ZM
,
Gebruik,VTHOG
jou,PTEB
muis,NSE
om,SVS
regs,UPW
te,UPI
klik,VTHOO
op,SVS
die,LB
dokument,NSE
wat,PB
jy,PTENP
graag,BS
wil,VTUOM
aflaai,VTHSG
.,ZE
,
In,SVS
die,LB
tuimel-kieslys,NSE
wat,PB
verskyn,VTHOO
",",ZM
kies,VTHOG
',ZPL
Save,RV
Target,RV
As,RV
',ZPR
.,ZE
,
In,SVS
die,LB
',ZPL
Save,RV
As,RV
',ZPR
-venstertjie,RWD
",",ZM
kies,VTHOG
die,LB
plek,NSE
op,SVS
jou,PTEB
hardeskyf,NSE
waar,PB
jy,PTENP
die,LB
dokument,NSE
wil,VTUOM
stoor,VTHOG
en,KN
klik,VTHOO
op,SVS
die,LB
',ZPL
Save,RV
',ZPR
knoppie,NSED
.,ZE
,
Die,LB
lêer,NSE
sal,VTUOM
afgelaai,VVHOG
word,VTUOP
na,SVS
die,LB
plek,NSE
wat,PB
jy,PTENP
aangedui,VVHOG
het,VUOT
.,ZE
,
Maak,VTHOG
jou,PTEB
Acrobat,NEE
Reader,NEE
toepassing,NSE
oop,UPW
en,KN
maak,VTHOG
daarna,PB
die,LB
dokumente,NSM
wat,PB
jy,PTENP
afgelaai,VVHOO
het,VUOT
oop,UPW
.,ZE
,
Wanneer,PB
jy,PTENP
Netscape,NEE
as,KO
jou,PTEB
blaaier,NSE
gebruik,VTHOG
:,ZM
,
Gebruik,VTHOG
jou,PTEB
muis,NSE
",",ZM
en,KN
skuif,VTHOO
en,KN
klik,VTHOO
(,ZPL
linkerkantste,ASA
muisklik,NSE
),ZPR
op,SVS
die,LB
skakel,NSE
na,SVS
die,LB
dokument,NSE
wat,PB
jy,PTENP
wil,VTUOM
stoor,VTHOG
.,ZE
,
In,SVS
die,LB
',ZPL
Save,RV
As,RV
',ZPL
venstertjie,NSED
",",ZM
kies,VTHOG
die,LB
plek,NSE
op,SVS
jou,PTEB
hardeskyf,NSE
waar,PB
jy,PTENP
die,LB
dokument,NSE
wil,VTUOM
stoor,VTHOG
en,KN
klik,VTHOO
op,SVS
die,LB
',ZPL
Save,RV
',ZPR
knoppie,NSED
.,ZE
,
Die,LB
lêer,NSE
sal,VTUOM
afgelaai,VVHOG
word,VTUOP
na,SVS
die,LB
plek,NSE
wat,PB
jy,PTENP
aangedui,VVHOO
het,VUOT
.,ZE
,
Maak,VTHOG
jou,PTEB
Acrobat,NEE
Reader,NEE
toepassing,NSE
oop,UPW
en,KN
maak,VTHOG
daarna,PB
ook,BS
die,LB
dokumente,NSM
wat,PB
jy,PTENP
afgelaai,VVHOO
het,VUOT
oop,UPW
.,ZE
,
Hulp,NA
nodig,BS
met,SVS
probleme,NSM
wat,PB
op,SVS
die,LB
webtuiste,NSE
ervaar,VTHOG
word,VTUOP
?,ZE
,
Kontak,VTHOG
ons,PEMP
asseblief,BS
(,ZPL
electronic@gcis.gov.za,NEE
),ZPR
indien,KO
jy,PTENP
enige,PO
probleme,NSM
met,SVS
die,LB
webtuiste,NSE
ondervind,VTHOG
.,ZE
,
Indien,KO
'n,LO
vereniging,NSE
",",ZM
maatskappy,NSE
of,KN
beslote,ASA
korporasie,NSE
nie,BS
sy,PDHEB
skuld,NSE
kan,VTUOM
of,KN
wil,VTUOM
betaal,VTHOG
nie,UPO
en,KN
ook,BS
nie,BS
sy,PDHEB
verpligtinge,NSM
kan,VTUOM
nakom,VTHSG
nie,UPO
(,ZPL
weens,SVS
insolvensie,NSE
",",ZM
wanbestuur,NA
of,KN
om,SVS
enige,PO
ander,ASA
rede,NSE
),ZPR
mag,VTUOM
die,LB
Direkteur-generaal,NSE
van,SVS
Handel,NA
en,KN
Nywerheid,NSE
'n,LO
sakeonderneming,NSE
onder,SVS
administrasie,NSE
plaas,VTHOG
of,KN
laat,VTUOA
likwideer,VTHOG
.,ZE
,
'n,LO
Vereniging,NSE
of,KN
'n,LO
voorlopige,ASA
vereniging,NSE
",",ZM
enige,PO
lid,NSE
van,SVS
die,LB
vereniging,NSE
of,KN
enige,PO
ander,ASA
belanghebbende,ASA
persoon,NSE
mag,VTUOM
by,SVS
die,LB
hof,NSE
aansoek,NSE
doen,VTHOG
dat,KO
die,LB
Direkteur-generaal,NSE
die,LB
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
onder,SVS
administrasie,NSE
plaas,VTHOG
of,KN
likwideer,VTHOG
.,ZE
,
Die,LB
hof,NSE
wat,PB
hierdie,PA
aansoek,NSE
aanhoor,VTHSG
",",ZM
moet,VTUOM
'n,LO
afdeling,NSE
van,SVS
die,LB
hooggeregshof,NSE
of,KN
landdroshof,NSE
wees,VTHOK
wat,PB
regsbevoegdheid,NSE
het,VTHOG
in,SVS
die,LB
gebied,NSE
waar,PB
die,LB
vereniging,NSE
gesetel,VVHOG
is,VVUOP
of,KN
sy,PDHEB
aktiwiteite,NSM
bedryf,VTHOG
.,ZE
,
Die,LB
howe,NSM
kan,VTUOM
ook,BS
so,UPV
beslis,VTHOO
indien,KO
dit,PDOENP
die,LB
beste,AOA
en,KN
regverdigste,AOA
beslissing,NSE
vir,SVS
die,LB
gegewe,ASA
situasie,NSE
is,VTHOK
.,ZE
,
Indien,KO
die,LB
hof,NSE
beslis,VTHOO
dat,KO
die,LB
Direkteur-generaal,NSE
die,LB
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
onder,SVS
administrasie,NSE
moet,VTUOM
plaas,VTHOG
",",ZM
sal,VTUOM
hy,PDHENP
of,KN
sy,PDVENP
oor,SVS
die,LB
nodige,ASA
gesag,NA
beskik,VTHOO
om,SVS
die,LB
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
se,UPS
sake,NSM
ooreenkomstig,SVS
die,LB
voorwaardes,NSM
van,SVS
die,LB
Maatskappywet,NSE
",",VTHOG
1973,RS
te,UPI
administreer,VTHOG
.,ZE
,
Indien,KO
die,LB
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
skriftelik,BS
by,SVS
die,LB
Direkteur-generaal,NSE
daarom,PB
aansoek,NSE
doen,VTHOG
",",VTHOG
kan,VTUOM
hy,PDHENP
of,KN
sy,PDVENP
die,LB
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
deregistreer,VTHOG
indien,KO
hy,PDHENP
of,KN
sy,PDVENP
tevrede,ASP
is,VTHOK
dat,KO
,
'n,LO
resolusie,NSE
(,ZPL
besluit,NSE
),ZPR
ten,SVS
gunste,NSM
van,SVS
deregistrasie,NSE
aanvaar,VTHOG
is,VVUOP
op,SVS
'n,LO
vergadering,NSE
wat,PB
deur,SVS
'n,LO
beduidende,ASA
getal,NSE
lede,NSM
van,SVS
die,LB
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
bygewoon,VVHOG
is,VVUOP
;,ZM
,
die,LB
resolusie,NSE
aanvaar,VTHOG
is,VVUOP
deur,SVS
'n,LO
meerderheid,NSE
van,SVS
die,LB
lede,NSM
wat,PB
by,SVS
die,LB
vergadering,NSE
teenwoordig,ASP
was,VVHOK
of,KN
verteenwoordig,VTHOG
is,VTHOK
;,ZM
en,KN
,
al,THAO
die,LB
tersaaklike,ASA
dinge,NSM
wat,PB
redelikerwys,BS
voor,SVS
deregistrasie,NSE
bespreek,VTHOG
moet,VTUOM
word,VTUOP
",",VTHOG
insluitende,SVS
hoe,PB
daar,UXD
met,SVS
die,LB
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
se,UPS
bates,NSM
en,KN
laste,NSM
gehandel,VVHOG
moet,VTUOM
word,VTUOP
",",VTHOG
wel,BS
bespreek,VTHOG
is,VVUOP
.,ZE
,
Indien,KO
die,LB
hof,NSE
beslis,VTHOO
dat,KO
die,LB
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
gelikwideer,VVHOG
moet,VTUOM
word,VTUOP
",",VTHOG
sal,VTUOM
dit,PDOENP
ook,BS
beslis,VTHOO
hoe,PB
die,LB
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
se,UPS
bates,NSM
gelykop,BS
en,KN
regverdig,BS
verdeel,VTHOG
moet,VTUOM
word,VTUOP
.,ZE
,
In,SVS
sy,PDHEB
beslissing,NSE
sal,VTUOM
die,LB
hof,NSE
enige,PO
moontlike,ASA
aanbevelings,NSM
deur,SVS
die,LB
Direkteur-generaal,NSE
oor,SVS
die,LB
verdeling,NSE
van,SVS
bates,NSM
in,SVS
ag,NA
neem,VTHOG
.,ZE
,
Indien,KO
die,LB
Direkteur-generaal,NSE
",",VTHOG
of,KN
'n,LO
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
",",VTHOG
of,KN
enige,PO
lid,NSE
van,SVS
die,LB
vereniging,NSE
",",VTHOG
of,KN
enige,PO
ander,ASA
belanghebbende,ASA
persoon,NSE
aansoek,NSE
doen,VTHOG
dat,KO
'n,LO
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
deur,SVS
die,LB
Direkteur-generaal,NSE
onder,SVS
administrasie,NSE
geplaas,VVHOG
of,KN
gelikwideer,VVHOG
moet,VTUOM
word,VTUOP
",",VTHOG
kan,VTUOM
die,LB
Minister,NSE
beslis,VTHOO
ingevolge,SVS
watter,PB
prosedure,NSE
die,LB
Direkteur-generaal,NSE
die,LB
vereniging,NSE
of,KN
voorlopige,ASA
vereniging,NSE
onder,SVS
administrasie,NSE
moet,VTUOM
plaas,VTHOG
of,KN
likwideer,VTHOG
.,ZE
,
Die,LB
Minister,NSE
kan,VTUOM
onder,SVS
sulke,PA
omstandighede,NSM
ook,BS
die,LB
magte,NSM
en,KN
pligte,NSM
van,SVS
die,LB
Direkteur-generaal,NSE
",",VTHOG
die,LB
registrasiebeampte,NSE
",",VTHOG
die,LB
vereniging,NSE
",",VTHOG
die,LB
lede,NSM
en,KN
belanghebbende,ASA
partye,NSM
uiteensit,VTHSG
.,ZE
,
In,SVS
die,LB
geval,NSE
van,SVS
'n,LO
maatskappy,NSE
of,KN
beslote,ASA
korporasie,NSE
(,ZPL
BK,RL
),ZPR
kan,VTUOM
enige,PO
belanghebbende,ASA
party,NSE
",",VTHOG
direkteur,NSE
of,KN
ouditeur,NSE
van,SVS
die,LB
maatskappy,NSE
",",VTHOG
die,LB
Suid-Afrikaanse,ASA
Inkomstediens,NSE
(,ZPL
SAID,RL
),ZPR
of,KN
die,LB
Registrateur,NSE
van,SVS
Maatskappye,NSM
om,SVS
die,LB
deregistrasie,NSE
van,SVS
'n,LO
maatskappy,NSE
of,KN
BK,RL
aansoek,NSE
doen,VTHOG
.,ZE
,
Hierdie,PA
voorkeurbehandeling,NSE
is,VTHOK
egter,BS
net,BS
van,SVS
toepassing,NSE
op,SVS
organisasies,NSM
wat,PB
aan,SVS
die,LB
bepalings,NSM
van,SVS
die,LB
Wet,NSE
op,SVS
Organisasies,NSM
sonder,SVS
Winsoogmerk,NSE
",",VTHOG
1997,RS
en,KN
verwante,ASA
wetgewing,NSE
voldoen,VTHOV
.,ZE
,
Organisasies,NSM
wat,PB
vir,SVS
vrystelling,NSE
aansoek,NSE
wil,VTUOM
doen,VTHOG
",",VTHOG
moet,VTUOM
in,SVS
een,THAB
van,UPD
die,LB
onderstaande,ASA
kategorieë,NSM
val,VTHOO
:,ZM
,
'n,LO
Maatskappy,NSE
wat,PB
ooreenkomstig,SVS
Artikel,NSE
21,RS
van,SVS
die,LB
Maatskappywet,NSE
",",VTHOG
1973,RS
ingelyf,VVHOG
is,VVUOP
.,ZE
,
So,UPB
'n,LO
artikel,NSE
21-maatskappy,NSE
moet,VTUOM
'n,LO
akte,NSE
van,SVS
oprigting,NSE
as,KO
stigtingsdokument,NSE
hê,VTHOG
en,KN
by,SVS
die,LB
Registrateur,NSE
van,SVS
Maatskappye,NSM
geregistreer,VVHOG
wees,VTUOP
.,ZE
,
'n,LO
Trust,NSE
met,SVS
'n,LO
stigtingsdokument,NSE
en,KN
'n,LO
trustakte,NSE
.,ZE
,
Die,LB
trust,NSE
moet,VTUOM
by,SVS
die,LB
Meester,NSE
van,SVS
die,LB
Hooggeregshof,NSE
geregistreer,VVHOG
wees,VTUOP
.,ZE
,
'n,LO
Vereniging,NSE
van,SVS
persone,NSM
.,ZE
,
Dit,PDOENP
moet,VTUOM
'n,LO
vrywillige,ASA
vereniging,NSE
van,SVS
persone,NSM
wees,VTHOK
wie,PB
se,UPS
sake,NSM
ooreenkomstig,SVS
'n,LO
grondwet,NSE
gereël,VVHOG
word,VTUOP
.,ZE
,
As,KO
die,LB
stigtingsdokument,NSE
nie,BS
aan,SVS
die,LB
voorwaardes,NSM
van,SVS
Artikel,NSE
30,RS
van,SVS
die,LB
Wet,NSE
op,SVS
Organisasies,NSM
sonder,SVS
Winsoogmerk,NSE
",",VTHOG
1997,RS
voldoen,VTHOV
nie,UPO
",",VTHOG
moet,VTUOM
'n,LO
geskrewe,ASA
onderneming,NSE
wat,PB
deur,SVS
die,LB
aansoeker,NSE
onderteken,VTHOG
is,VVUOP
",",VTHOG
saam,BS
met,SVS
die,LB
aansoekvorm,NSE
ingedien,VVHOG
word,VTUOP
.,ZE
,
